checkpoint,motion_key,terminated,progress,mpjpe_g,mpjpe_l,mpjpe_g_foot,mpjpe_g_vr_3points,anchor_xy_error_mean,anchor_xy_error_max,anchor_heading_error_mean,anchor_heading_error_max
pr12000,jog_ff_start_180_R_003__A234_M,True,0.16402116417884827,0.07456888258457184,0.060356710106134415,0.11575200408697128,0.06032434602578481,0.04176238551735878,0.09586137533187866,0.13419179618358612,0.2590324878692627
pr12000,walk_ff_loop_315_R_001__A237_M,True,0.03105590119957924,0.04494848847389221,0.040142759680747986,0.09760722517967224,0.03052450716495514,0.02504076063632965,0.05963761359453201,0.21212519705295563,0.4564747214317322
pr12000,jump_ff_180_R_003__A238_M,True,0.2886597812175751,0.055851224809885025,0.041115131229162216,0.07894151657819748,0.04850677649180094,0.012709163129329681,0.042411919683218,0.04925505444407463,0.210463285446167
hy2000,jog_ff_start_180_R_003__A234_M,True,0.18518517911434174,0.08279648886786567,0.06645060645209419,0.12010574340820312,0.07125424985532408,0.02393188700079918,0.04624708741903305,0.06647128611803055,0.1714264154434204
hy2000,walk_ff_loop_315_R_001__A237_M,True,0.2763975262641907,0.26736219194200306,0.08191854688856337,0.35742687649197047,0.25527004665798614,0.24327285587787628,0.49242159724235535,0.3881818652153015,0.9758957028388977
hy2000,jump_ff_180_R_003__A238_M,True,0.3298968970775604,0.06383390956454807,0.0425457927915785,0.08830704689025878,0.05111686918470595,0.010608167387545109,0.063832126557827,0.049746863543987274,0.15197062492370605
tf2000,jog_ff_start_180_R_003__A234_M,True,0.17989417910575867,0.10309630802699497,0.08191152300153459,0.14510834557669502,0.0836691175188337,0.035407692193984985,0.12377374619245529,0.04683172330260277,0.10057175159454346
tf2000,walk_ff_loop_315_R_001__A237_M,True,0.03105590119957924,0.041917337690080915,0.03767744473048619,0.10897970880780901,0.02832424981253488,0.015327271074056625,0.03447536379098892,0.13475297391414642,0.34066933393478394
tf2000,jump_ff_180_R_003__A238_M,True,0.3298968970775604,0.09759650911603655,0.07269862719944545,0.13358005796160016,0.07701480502174014,0.03224032372236252,0.11800137162208557,0.12652607262134552,0.2614707946777344
locovel192_s050,jog_ff_start_180_R_003__A234_M,True,0.190476194024086,0.0853812887861922,0.06960780556137497,0.14322686839748072,0.058380951752533786,0.045290783047676086,0.08543577045202255,0.014540327712893486,0.04389500617980957
locovel192_s050,walk_ff_loop_315_R_001__A237_M,True,0.03726708143949509,0.05936511142833813,0.05434083938598633,0.1420255609460779,0.03469976648554072,0.034969113767147064,0.0628264844417572,0.27077627182006836,0.5418563485145569
locovel192_s050,jump_ff_180_R_003__A238_M,True,0.34020617604255676,0.0546363302179285,0.04041893095583529,0.07427388912922628,0.046139412098102746,0.008378342725336552,0.016496896743774414,0.04124505817890167,0.1648571491241455
